id,director,actors,return
582,Florian Henckel von Donnersmarck,"Martina Gedeck, Ulrich Mühe, Sebastian Koch",35.0
52885,Miklós Jancsó,"József Madaras, Tibor Molnár, András Kozák",0.0
143223,,,0.0
42120,Ringo Lam,"Chow Yun-fat, Danny Lee Sau-Yin, Suen Yuet",0.0
88811,Hou Hsiao-hsien,"Jack Kao Kuo-Hsin, Lim Giong, Vicky Wei",0.0
669,Robert J. Flaherty,"Allakariallak, Nyla, Cunayou",0.0
49361,Lucio Fulci,"Florinda Bolkan, Barbara Bouchet, Tomás Milián",0.0
98864,Daniel Petrie,"Ellen Burstyn, Sam Shepard, Richard Farnsworth",0.0
37939,Seijun Suzuki,"Jô Shishido, Misako Watanabe, Tamio Kawaji",0.0
32052,Ted Post,"Burt Lancaster, Craig Wasson, Marc Singer",0.0
34732,Gordon Douglas,"Sidney Poitier, Martin Landau, Barbara McNair",0.0
12763,Liz Friedlander,"Antonio Banderas, Rob Brown, Yaya DaCosta",1.16
56935,Claude Goretta,"Isabelle Huppert, Yves Beneyton, Florence Giorgetti",0.0
13222,Jeff Feuerzeig,Daniel Johnston,0.0
42112,Robert Bresson,"Christian Patey, Vincent Risterucci, Sylvie Van den Elsen",0.0
48764,Robert Bresson,"Florence Delay, Jean-Claude Fourneau, Roger Honorat",0.0
1561,Robert Bresson,"Nadine Nortier, Jean-Claude Guilbert, Marie Cardinal",0.0
31289,Nanni Moretti,"Silvio Orlando, Margherita Buy, Jasmine Trinca",0.0
186,Paul McGuigan,"Josh Hartnett, Bruce Willis, Lucy Liu",2.09
8410,Werner Herzog,"Brad Dourif, Donald Williams, Ellen Baker",0.0
51311,Werner Herzog,"The Dalai Lama, Lama Lhundup Woeser, Takna Jigme Sangpo",0.0
21843,Kim Finn,,0.0
219,Pedro Almodóvar,"Penélope Cruz, Carmen Maura, Lola Dueñas",6.63
65873,Todd Williams,,0.0
13751,Doug Atchison,"Keke Palmer, Laurence Fishburne, Angela Bassett",2.37
52345,Guel Arraes,"Selton Mello, Débora Falabella, Virginia Cavendish",0.0
53961,Laís Bodanzky,"Rodrigo Santoro, Cássia Kis Magro, Othon Bastos",0.0
10292,Mary Lambert,"Kate Mara, Robert Vito, Tina Lifford",0.0
15639,Trent Cooper,"Larry the Cable Guy, Iris Bahr, Tony Hale",0.0
10069,William Brent Bell,"Jon Foster, Samaire Armstrong, Frankie Muniz",3.01
43887,George Stevens,"Barbara Stanwyck, Preston Foster, Melvyn Douglas",0.0
3093,Michael Caton-Jones,"Sharon Stone, David Morrissey, Charlotte Rampling",0.55
9270,Rian Johnson,"Joseph Gordon-Levitt, Nora Zehetner, Lukas Haas",8.25
11291,Olle Hellbom,"Staffan Götestam, Lars Söderdahl, Allan Edwall",0.0
28349,Dave Parker,"Eric Clawson, Jamie Donahue, Brett Beardslee",0.0
10177,Jake West,"Emily Booth, Sam Butler, Jamie Honeybourne",0.0
12591,David Steiman,"Bill Goldberg, Douglas Smith, Emilie de Ravin",0.0
18045,Paul Fox,"Kate Greenhouse, Aidan Devine, Gordon Currie",0.0
16070,Kirby Dick,"Kimberly Peirce, Jon Lewis, David Ansen",0.0
11348,Jaume Balagueró,"Calista Flockhart, Richard Roxburgh, Elena Anaya",0.0
13960,Christian Robinson,"T.I., Evan Ross, Jackie Long",1.06
41263,Charles Braverman,"Kiefer Sutherland, Lori Loughlin, Joe Spano",0.0
9035,James Gunn,"Nathan Fillion, Don Thompson, Elizabeth Banks",0.0
9957,Dennis Dugan,"Jon Heder, Rob Schneider, David Spade",0.0
30139,Nnegest Likké,"Mo'Nique, Jimmy Jean-Louis, Godfrey",0.0
9389,Christian Volckman,"Daniel Craig, Catherine McCormack, Romola Garai",0.1
460,Dani Levy,"Henry Hübchen, Hannelore Elsner, Udo Samel",0.0
28752,Terence Fisher,"Oliver Reed, Clifford Evans, Catherine Feller",0.0
19059,Charley Stadler,"Gary Oldman, Robert Carlyle, Anouska Bolton Lee",0.0
8998,Nicole Holofcener,"Catherine Keener, Jason Isaacs, Timm Sharp",2.06
44947,Gérard Corbiau,"Benoît Magimel, Boris Terral, Tchéky Karyo",0.0
13468,Lodge Kerrigan,"Damian Lewis, Abigail Breslin, Amy Ryan",0.0
20521,Andy Fickman,"Kristen Bell, Christian Campbell, Neve Campbell",0.0
25428,Adam Goldberg,"Marisa Coughlan, Judy Greer, Shalom Harlow",0.0
53296,Dome Karukoski,"Pamela Tola, Samuli Vauramo, Joonas Sartamo",0.0
79363,John Parker,"Adrienne Barrett, Ben Roseman, Bruno VeSota",0.0
34193,Richard Attenborough,"Anthony Hopkins, Ann-Margret, Burgess Meredith",0.0
4441,Neil Armfield,"Abbie Cornish, Heath Ledger, Geoffrey Rush",0.0
84954,G.W. Pabst,"Werner Krauss, Ruth Weyher, Ilka Grüning",0.0
11490,"Luc Dardenne, Jean-Pierre Dardenne","Jérémie Renier, Déborah François, Olivier Gourmet",0.0
11304,"James Hanlon, Rob Klug, Gedeon Naudet, Jules Naudet","Tony Benatatos, Jamal Braithwaite, Joseph Casaliggi",0.0
55368,Louis Malle,"Pierre Blaise, Aurore Clément, Holger Löwenadler",0.0
18276,Wil Shriner,"Luke Wilson, Logan Lerman, Brie Larson",0.0
26514,Norman Tokar,"James Whitmore, Beverly Garland, Jack Ging",0.0
4257,David Zucker,"Anna Faris, Regina Hall, Craig Bierko",3.96
2652,David Slade,"Patrick Wilson, Ellen Page, Sandra Oh",7.39
19592,Alex Turner,"Henry Thomas, Patrick Fugit, Nicki Aycox",0.0
1629,Jean-Luc Godard,"Anne Wiazemsky, Jean-Pierre Léaud, Juliet Berto",0.0
17111,"Banjong Pisanthanakun, Parkpoom Wongpoom","Ananda Everingham, Natthaweeranuch Thongmee, Achita Sikamana",0.0
9526,Robert Altman,"Meryl Streep, Lindsay Lohan, Virginia Madsen",0.0
19126,Mark Rydell,"Danny DeVito, Kim Basinger, Forest Whitaker",0.0
80556,Satyajit Ray,"Sanjeev Kumar, Saeed Jaffrey, Shabana Azmi",0.0
39045,Hal Sutherland,"Scott Grimes, Tom Bosley, Rickie Lee Jones",0.41
27201,Matthew Robbins,"Mark Hamill, Annie Potts, Eugene Roche",0.0
5820,Clark Johnson,"Michael Douglas, Kiefer Sutherland, Eva Longoria",1.3
19661,Edward Dmytryk,"Gregory Peck, Diane Baker, Walter Matthau",0.0
41338,Im Sang-soo,"Han Seok-kyu, Song Jae-ho , Baek Yun-Shik",0.0
9904,Steve 'Spaz' Williams,"Kiefer Sutherland, Jim Belushi, Eddie Izzard",0.47
50724,Ricardo de Montreuil,"Bárbara Mori, Manolo Cardona, Christian Meier",0.0
588,Christophe Gans,"Radha Mitchell, Sean Bean, Laurie Holden",1.95
17247,Carlos Reygadas,"Marcos Hernández, Anapola Mushkadiz, Bertha Ruiz",0.16
9310,Paul Weitz,"Hugh Grant, Dennis Quaid, Mandy Moore",0.43
48369,Marcel Carné,"Annabella, Jean-Pierre Aumont, Louis Jouvet",0.0
18858,Ann Turner,"Susan Sarandon, Sam Neill, Emily Blunt",0.0
35545,George Fitzmaurice,"Greta Garbo, Ramon Novarro, Lionel Barrymore",3.99
1557,Hans-Christian Schmid,"Fabian Busch, August Diehl, Dieter Landuris",0.0
16367,Julian Jarrold,"Joel Edgerton, Chiwetel Ejiofor, Sarah-Jane Potts",0.0
17131,Stuart Heisler,"Brian Donlevy, Veronica Lake, Alan Ladd",0.0
8982,Prachya Pinkaew,"Tony Jaa, Petchtai Wongkamlao, Bongkoj Khongmalai",4.53
956,J.J. Abrams,"Tom Cruise, Philip Seymour Hoffman, Ving Rhames",2.65
36253,Tsai Ming-liang,"Lee Kang-Sheng, Chen Shiang-Chyi, Sumomo Yozakura",0.0
31506,Fritz Lang,"Paul Richter, Theodor Loos, Margarete Schön",0.0
42512,Fritz Lang,"Margarete Schön, Gertrud Arnold, Theodor Loos",0.0
1416,Kim Ki-duk,"Jang Dong-gun, Jeong-hak Kim, Park Ji-ah ",0.0
9530,Barry Sonnenfeld,"Robin Williams, Cheryl Hines, Joanna 'JoJo' Levesque",1.75
9829,Paul Greengrass,"J.J. Johnson, Polly Adams, Trish Gates",5.09
10115,Jessica Bendinger,"Jeff Bridges, Missy Peregrym, Vanessa Lengies",0.0
560,Fritz Lang,"Joan Bennett, Michael Redgrave, Anne Revere",0.0
5717,Ramin Bahrani,"Leticia Dolera, Charles Daniel Sandoval, Ali Reza",0.0
41292,Jia Zhangke,"Zhao Tao, Cheng Tai-Shen, Jue Jing",0.0
14384,Ralph Nelson,"Candice Bergen, Peter Strauss, Donald Pleasence",0.0
28432,Lloyd Bacon,"James Cagney, Joan Blondell, Ruby Keeler",0.0
19719,"Jenna Fischer, Ryan Bergmann, Andrew J. Stratmann","James Gunn, Jenna Fischer, Peter Alton",0.0
10008,Courtney Solomon,"Donald Sutherland, Sissy Spacek, James D'Arcy",0.0
7870,David Jacobson,"Edward Norton, Evan Rachel Wood, David Morse",0.11
34019,Yôji Yamada,"Masatoshi Nagase, 松隆子, Hidetaka Yoshioka",0.0
7518,"Karey Kirkpatrick, Tim Johnson","Bruce Willis, Garry Shandling, Steve Carell",4.29
9786,Terry Zwigoff,"Max Minghella, Sophia Myles, John Malkovich",0.0
503,Wolfgang Petersen,"Kurt Russell, Richard Dreyfuss, Josh Lucas",1.14
591,Ron Howard,"Tom Hanks, Audrey Tautou, Ian McKellen",6.14
36668,Brett Ratner,"Hugh Jackman, Halle Berry, Ian McKellen",2.19
9767,Peyton Reed,"Vince Vaughn, Jennifer Aniston, Joey Lauren Adams",3.94
13689,Victor Salva,"Scott Mechlowicz, Nick Nolte, Amy Smart",0.0
18164,Michael Cuesta,"Zoe Weizenbaum, Conor Donovan, Jesse Camacho",0.24
15013,Richard E. Grant,"Gabriel Byrne, Emily Watson, Julie Walters",0.0
21014,Scott Marshall,"Daryl Sabara, Jami Gertz, Jeremy Piven",0.0
920,"John Lasseter, Joe Ranft","Owen Wilson, Paul Newman, Bonnie Hunt",3.85
18484,Larry Clark,"Jonathan Velasquez, Francisco Pedrasa, Milton Velasquez",0.0
9700,Andy García,"Andy García, Richard Bradford, Nestor Carbonell",0.46
14167,Matthew Cole Weiss,"Jon Abrahams, Amy Adams, Roger Avary",0.01
12261,Michael Bregman,"Jay Hernandez, Mario Van Peebles, Luis Guzmán",0.0
59892,Jan Švankmajer,"Petr Meissel, Gabriela Wilhelmová, Barbora Hrzánová",0.0
15264,Edwin L. Marin,"John Wayne, Ella Raines, Ward Bond",0.0
20330,Fritz Lang,"Dana Andrews, Joan Fontaine, Sidney Blackmer",0.0
44126,"Enzo G. Castellari, Luigi Cozzi","Lou Ferrigno, John Steiner, Roland Wybenga",0.0
55418,Rauni Mollberg,"Maritta Viitamäki, Pauli Jauhojärvi, Aimo Saukko",0.0
101908,Wang Xiaoshuai,"Gao Yuanyuan, Anlian Yao, Yang Tang",0.0
12766,Robert Aldrich,"Gary Cooper, Burt Lancaster, Denise Darcel",0.0
15402,Mary Harron,"Gretchen Mol, Chris Bauer, Jared Harris",0.0
26116,Dolph Lundgren,"Dolph Lundgren, Ben Cross, Ivan Petrushinov",0.0
32446,Bill Sherwood,"Richard Ganoung, John Bolger, Steve Buscemi",0.0
80919,Michael Hoffman,"Michael Keaton, Robert Downey Jr., Ari Graynor",0.0
15366,Aric Avelino,"Forest Whitaker, Marcia Gay Harden, Donald Sutherland",0.0
53905,Randall Miller,"Danny DeVito, Robert Carlyle, John Goodman",0.0
38344,Gaby Dellal,"Peter Mullan, Brenda Blethyn, Sean McGinley",0.0
806,John Moore,"Liev Schreiber, Julia Stiles, Seamus Davey-Fitzpatrick",4.77
20021,James Marsh,"Gael García Bernal, William Hurt, Pell James",0.0
9353,Jared Hess,"Jack Black, Ana de la Reguera, Héctor Jiménez",2.51
2044,Alejandro Agresti,"Keanu Reeves, Sandra Bullock, Shohreh Aghdashloo",2.87
9339,Frank Coraci,"Adam Sandler, Kate Beckinsale, Christopher Walken",2.88
20945,Mark Robson,"Kim Hunter, Tom Conway, Jean Brooks",0.0
122271,Mike Leigh,"Anne Raitt, Sarah Stephenson, Eric Allan",0.0
50254,Peter Watkins,"Kerstii Allum, Geir Westby, Gro Fraas",0.0
28249,Wallace Worsley,"Lon Chaney, Leatrice Joy, John Bowers",0.0
350,David Frankel,"Meryl Streep, Anne Hathaway, Emily Blunt",9.33
58,Gore Verbinski,"Johnny Depp, Orlando Bloom, Keira Knightley",5.33
1819,"Anthony Russo, Joe Russo","Kate Hudson, Owen Wilson, Matt Dillon",2.42
2295,Kevin Smith,"Brian O'Halloran, Jeff Anderson, Jason Mewes",5.38
9697,M. Night Shyamalan,"Paul Giamatti, Jeffrey Wright, Bob Balaban",0.56
4474,Ivan Reitman,"Uma Thurman, Luke Wilson, Anna Faris",0.0
43240,Joseph Pevney,"Debbie Reynolds, Leslie Nielsen, Walter Brennan",0.0
30022,Charles David,"Deanna Durbin, Ralph Bellamy, David Bruce",0.0
28673,Mario Caiano,"Barbara Steele, Paul Müller, Helga Liné",0.0
20556,Michael Lindsay-Hogg,"John Lennon, Paul McCartney, George Harrison",0.0
4962,Otar Iosseliani,"Nico Tarielashvili, Lily Lavina, Philippe Bas",0.0
10007,Gregory Dark,"Michael J. Pagan, Samantha Noble, Glenn Thomas Jacobs",0.0
1887,Sofia Coppola,"Kirsten Dunst, Jason Schwartzman, Judy Davis",1.51
1841,Robert Montgomery,"Robert Montgomery, Audrey Totter, Lloyd Nolan",0.0
71762,Aleksey German,"Rolan Bykov, Анатолій Солоніцин, Vladimir Zamanskiy",0.0
13508,Chris Paine,"Martin Sheen, Mel Gibson, Tom Hanks",1.68
1611,Sönke Wortmann,"Louis Klamroth, Peter Lohmeyer, Johanna Gastdorf",0.0
48693,Jean Eustache,"Bernadette Lafont, Jean-Pierre Léaud, Françoise Lebrun",0.0
1781,Davis Guggenheim,"Al Gore, Billy West, Ronald Reagan",46.24
43155,Victor Fleming,"Clark Gable, Myrna Loy, Spencer Tracy",0.0
16270,Bryan Gordon,"John Candy, Jennifer Connelly, Frank Whaley",0.0
8997,Claudio Fäh,"Christian Slater, Peter Facinelli, Laura Regan",0.0
42003,Taylor Hackford,"Chuck Berry, Keith Richards, Ingrid Berry",0.0
63100,Richard Rush,"Susan Strasberg, Dean Stockwell, Jack Nicholson",0.0
18404,Martin Guigui,"Thomas Ian Nicholas, Jenny Mollen, Nicole Eggert",0.0
51571,Dudley Nichols,"Rosalind Russell, Alexander Knox, Dean Jagger",0.0
16074,Lu Chuan,"Duobuji, Zhang Lei, Liang Qi",0.0
10947,Kenny Ortega,"Zac Efron, Vanessa Hudgens, Ashley Tisdale",0.0
71769,Roger Spottiswoode,"Susan Sarandon, Aidan Devine, Cynthia Mace",0.0
34787,Matthew Barney,"Björk, Matthew Barney, Shigeru Akahori",0.0
29138,Fatih Akin,"Orhan Gencebay, Baba Zula",0.0
17628,Caveh Zahedi,"Caveh Zahedi, Rebecca Lord, Emily Morse",0.0
8443,Sérgio Machado,"Lázaro Ramos, Alice Braga, Wagner Moura",0.0
18553,Paul Schrader,"Joseph Fiennes, Ray Liotta, Gretchen Mol",0.0
26567,Joseph Castelo,"Ayad Akhtar, Firdous Bamji, Nandana Sen",0.0
34186,Costa-Gavras,"Karin Viard, José Garcia, Ulrich Tukur",0.0
17021,Craig Chester,"Malcolm Gets, Parker Posey, Chris Kattan",0.0
53231,Sam Wood,"Rudolph Valentino, Gloria Swanson, Edythe Chapman",0.0
22747,Gary Sinyor,"Tom Green, Brooke Shields, Genevieve Buechner",0.0
27320,Michael Cooney,"Christopher Allport, Eileen Seeley, Chip Heller",0.0
17741,Stephen Woolley,"Leo Gregory, Paddy Considine, David Morrissey",0.0
25563,"Michael Curtiz, Lloyd Bacon","Bette Davis, Humphrey Bogart, Lola Lane",0.0
146322,Steven Hilliard Stern,"Trudy Young, Michael Douglas, Eugene Levy",0.0
43147,Roy Del Ruth,"Lee Tracy, Mary Brian, Dick Powell",0.0
7549,Ronny Yu,"Jet Li, Sun Li, Dong Yong",0.0
151590,Robert Z. Leonard,"Greta Garbo, Clark Gable, Jean Hersholt",0.0
41796,Atom Egoyan,"Elias Koteas, Arsinée Khanjian, Maury Chaykin",0.0
9615,Justin Lin,"Lucas Black, Nathalie Kelley, Sung Kang",1.86
9513,Tim Hill,"Bill Murray, Jennifer Love Hewitt, Billy Connolly",0.0
20604,"Sam Dunn, Scot McFadyen, Jessica Joy Wise","Sam Dunn, Chris Adler, Tom Araya",0.0
410,Andreas Dresen,"Inka Friedrich, Nadja Uhl, Andreas Schmidt",0.0
31692,Howard Franklin,"Joe Pesci, Barbara Hershey, Richard Riehle",0.0
25509,Robert Z. Leonard,"Robert Taylor, Ava Gardner, Charles Laughton",0.0
31998,Harold S. Bucquet,"Spencer Tracy, Katharine Hepburn, Lucille Ball",0.0
9917,Vondie Curtis-Hall,"Tyrese Gibson, Meagan Good, Larenz Tate",0.0
10770,Michele Lupo,"Bud Spencer, Raimund Harmstorf, Cary Guffey",0.0
4375,Terence Young,"Christopher Plummer, Gert Fröbe, Claudine Auger",0.0
8008,Alison Murray,"Ellen Page, Natasha Wightman, Eric Thal",0.0
60269,Philippe Mora,"Dennis Hopper, Jack Thompson, David Gulpilil",0.0
51303,"Buster Keaton, Edward Sedgwick","Buster Keaton, Dorothy Sebastian, Edward Earle",0.0
1452,Bryan Singer,"Brandon Routh, Kevin Spacey, Kate Bosworth",1.45
43654,Derek Jarman,"Steven Waddington, Tilda Swinton, Andrew Tiernan",0.0
7872,"Michael Winterbottom, Mat Whitecross","Riz Ahmed, Farhad Harun, Waqar Siddiqui",0.0
57406,Lian Lunson,"Leonard Cohen, Martha Wainwright, Rufus Wainwright",0.0
18191,Stuart Gordon,"William H. Macy, Joe Mantegna, Denise Richards",0.0
14474,Billy Kent,"Parker Posey, Danny DeVito, Paul Rudd",0.0
773,"Jonathan Dayton, Valerie Faris","Greg Kinnear, Toni Collette, Steve Carell",12.57
16429,"Keith Fulton, Louis Pepe","Luke Treadaway, Harry Treadaway, Sean Harris",0.0
19999,"Bob Hercules, Cheri Pugh",Eva Mozes Kor,0.0
126090,Pjer Žalica,"Enis Bešlagić, Bogdan Diklić, Saša Petrović",0.0
36576,Blake Edwards,"David Niven, Robert Wagner, Herbert Lom",0.41
33005,J.T. Petty,"Karl Geary, Alexis Dziena, Keith Robinson",0.0
36762,John Fasano,"Jon Mikl Thor, Jillian Peri, Frank Dietz",0.0
19676,John Hazlett,"David Boreanaz, Caroline Dhavernas, Amanda Walsh",0.0
10308,"Rainer Werner Fassbinder, Michael Fengler","Lilith Ungerer, Kurt Raab, Lilo Pempeit",0.0
34380,Jem Cohen,"Ian MacKaye, Brendan Canty, Joe Lally",0.0
19972,Rudolph Maté,"Richard Egan, Ralph Richardson, Diane Baker",0.0
21631,Carol Reed,"Ralph Richardson, Michèle Morgan, Sonia Dresdel",0.0
35955,Anthony Mann,"Steve Brodie, Audrey Long, Raymond Burr",0.0
41214,Nicholas Ray,"Humphrey Bogart, John Derek, George Macready",0.0
1164,Alejandro González Iñárritu,"Brad Pitt, Cate Blanchett, Gael García Bernal",5.41
71282,Tay Garnett,"Clark Gable, Jean Harlow, Wallace Beery",0.0
72881,John Frankenheimer,"Gregory Peck, Tuesday Weld, Estelle Parsons",0.0
9520,Richard Claus,"Aaron Taylor-Johnson, Jasper Harris, Rollo Weeks",0.0
42839,Frank Tashlin,"Jayne Mansfield, Tom Ewell, Edmond O'Brien",0.0
32740,Rakesh Roshan,"Hrithik Roshan, Naseeruddin Shah, Priyanka Chopra",0.0
13141,Paul Dinello,"Amy Sedaris, Stephen Colbert, Paul Dinello",0.0
31915,John Frankenheimer,"Talia Shire, Robert Foxworth, Armand Assante",4.5
45817,John Huston,"Richard Boone, Nigel Green, Dean Jagger",0.0
43838,John Ford,"Henry Fonda, Alice Brady, Marjorie Weaver",0.0
31463,Philip Chidel,"Christian Oliver, Dean Stapleton, Courtney Mace",0.0
39083,John Woo,"Dolph Lundgren, Kate Vernon, Phillip MacKenzie",0.0
11554,Hou Hsiao-hsien,"Shu Qi, Chang Chen, Mei Fang",0.0
25305,Charles Bail,"Michael Sarrazin, Norman Burton, Gary Busey",0.0
35199,Patrick Creadon,"Will Shortz, Merl Reagle, Tyler Hinman",0.0
15383,Jean-Pierre Melville,"Lino Ventura, Paul Meurisse, Jean-Pierre Cassel",0.0
47850,Federico Fellini,"Balduin Baas, Clara Colosimo, Elizabeth Labi",0.0
9072,Keenen Ivory Wayans,"Marlon Wayans, Shawn Wayans, Kerry Washington",1.59
43903,"Ray Enright, Busby Berkeley","Joan Blondell, Dick Powell, Ruby Keeler",0.0
43600,Robert Z. Leonard,"Joan Crawford, Clark Gable, Franchot Tone",0.0
73907,Robert Parrish,"Gregory Peck, Win Min Than, Brenda De Banzie",0.0
27716,Ralph Bakshi,"Barry White, Charles Gordone, Scatman Crothers",0.0
54111,"Min Kyu-dong, Kim Tae-yong","Park Ye-jin, Lee Young-jin, Kim Gyu-ri",0.0
9727,Andy Cheng,"Cuba Gooding Jr., Angie Harmon, James Woods",0.0
14120,Jim Hanon,"Louie Leonardo, Chad Allen, Jack Guzman",0.0
76344,Robert Wise,"Robert Mitchum, Shirley MacLaine, Edmon Ryan",0.0
42636,Gordon Douglas,"Frank Sinatra, Lee Remick, Jacqueline Bisset",0.0
9297,Gil Kenan,"Ryan Newman, Steve Buscemi, Mitchel Musso",1.87
26826,Petr Zelenka,"Ivan Trojan, Zuzana Šulajová, Jiří Bartoška",0.0
81312,Ryszard Zatorski,"Maciej Zakościelny, Agnieszka Grochowska, Agnieszka Dygant",0.0
5070,Bertrand Blier,"Monica Bellucci, Bernard Campan, Gérard Depardieu",0.0
13802,Brian W. Cook,"John Malkovich, Sam Redford, Tom Allen",0.0
43778,Tomás Gutiérrez Alea,"Salvador Wood, Silvia Planas, Manuel Estanillo",0.0
326,David R. Ellis,"Samuel L. Jackson, Julianna Margulies, Kenan Thompson",1.88
512,Woody Allen,"Scarlett Johansson, Hugh Jackman, Woody Allen",7.9
9718,Adam McKay,"Will Ferrell, John C. Reilly, Sacha Baron Cohen",2.25
1593,Shawn Levy,"Ben Stiller, Jake Cherry, Carla Gugino",5.22
1852,Oliver Stone,"Nicolas Cage, Maria Bello, Maggie Gyllenhaal",2.59
1262,Marc Forster,"Will Ferrell, Maggie Gyllenhaal, Dustin Hoffman",1.79
43610,Tay Garnett,"Greer Garson, Gregory Peck, Donald Crisp",4.23
126781,Daniel Mann,"Paul Muni, David Wayne, Betsy Palmer",0.0
47758,William Wyler,"Margaret Sullavan, Herbert Marshall, Frank Morgan",0.0
13338,Chris Graham,"Oscar Kightley, Shimpal Lelisi, Iaheto Ah Hi",0.0
82,Michael Mann,"Jamie Foxx, Colin Farrell, Gong Li",1.21
14963,Edward Burns,"Edward Burns, Heather Burns, John Leguizamo",0.0
9921,Lee Daniels,"Cuba Gooding Jr., Helen Mirren, Vanessa Ferlito",0.0
36342,William Keighley,"James Cagney, George Raft, Jane Bryan",0.0
51043,John Henderson,"Ted Danson, Joely Richardson, Ian Holm",0.0
24164,Marco Bellocchio,"Maya Sansa, Luigi Lo Cascio, Roberto Herlitzka",0.0
1986,Radu Mihaileanu,"Moshe Abebe, Moshe Agazai, Sirak M. Sabahat",0.0
31152,"Nicholas Ray, Ida Lupino","Ida Lupino, Robert Ryan, Ward Bond",0.0
1402,Gabriele Muccino,"Will Smith, Jaden Smith, Thandie Newton",5.58
2805,Wisit Sasanatieng,"Chartchai Ngamsan, Suwinit Panjamawat, Stella Malucchi",0.0
9293,Betty Thomas,"Jesse Metcalfe, Brittany Snow, Ashanti",2.28
9906,John A. Davis,"Julia Roberts, Meryl Streep, Nicolas Cage",1.1
84956,Arthur Robison,"Alexander Granach, Fritz Kortner, Ruth Weyher",0.0
35075,Carl Theodor Dreyer,"Johannes Meyer, Helge Nissen, Halvard Hoff",0.0
55587,Carl Theodor Dreyer,"Walter Slezak, Max Auzinger, Nora Gregor",0.0
43597,Roy Del Ruth,"James Cagney, Mae Clarke, Margaret Lindsay",0.0
47880,Dan Ireland,"Joan Plowright, Rupert Friend, Zoë Tapper",2.29
31032,Cristi Puiu,"Ion Fiscuteanu, Luminița Gheorghiu, Doru Ana",0.0
51857,Carlos Saura,"Geraldine Chaplin, Mónica Randall, Florinda Chico",0.0
42479,"David Weisman, John Palmer","Edie Sedgwick, Wesley Hayes, Isabel Jewell",0.0
145899,Matti Kassila,"Matti Ranin, Leo Jokela, Pentti Siimes",0.0
43542,Joseph Anthony,"Burt Lancaster, Katharine Hepburn, Wendell Corey",0.0
1948,"Brian Taylor, Mark Neveldine","Jason Statham, Amy Smart, Jose Pablo Cantillo",3.58
148,Isabel Coixet,"Sarah Polley, Tim Robbins, Javier Cámara",0.0
9951,Jarno Laasala,"Jukka Hildén, Jarppi Leppälä, Hannu-Pekka Parviainen",0.0
77221,Jean-Jacques Annaud,"Mark Strong, Antonio Banderas, Freida Pinto",0.14
77250,John Ford,"Dorothy Lamour, Jon Hall, Mary Astor",0.0
52452,Mark Hammond,"Vinnie Jones, Patrick Bergin, Eriq La Salle",0.0
31979,Sean Stanek,"Imran Ahktar, George Berg, Patrick Bergin",0.0
5289,Tony Giglio,"Jason Statham, Ryan Phillippe, Wesley Snipes",0.0
9782,Patrick Stettner,"Toni Collette, Robin Williams, Joe Morton",0.0
9907,Steve Oedekerk,"Courteney Cox, Kevin James, Sam Elliott",1.43
42501,Louis Malle,"Lea Massari, Benoît Ferreux, Daniel Gélin",0.0
27203,Irving Pichel,"Susan Hayward, Robert Young, Jane Greer",0.0
63618,Edward Dmytryk,"Humphrey Bogart, Gene Tierney, Lee J. Cobb",0.0
35921,Richard Fleischer,"Orson Welles, Diane Varsi, Dean Stockwell",0.0
15696,"Emeric Pressburger, Michael Powell","Eric Portman, Sheila Sim, Dennis Price",0.0
19017,John Hough,"Peter Fonda, Susan George, Adam Roarke",0.0
42756,"Ben Hecht, Lee Garmes","Douglas Fairbanks Jr., Rita Hayworth, Thomas Mitchell",0.0
37929,Arch Nicholson,"Sean Garlick, Rachel Ward, Elaine Cusick",0.0
9762,Anne Fletcher,"Channing Tatum, Jenna Dewan, Damaine Radcliff",9.52
14113,Peter Hewitt,"Tim Allen, Courteney Cox, Chevy Chase",0.36
15049,Erik Canuel,"Patrick Huard, Colm Feore, Michel Beaudry",1.58
86604,Garson Kanin,"Ginger Rogers, George Murphy, Burgess Meredith",0.0
21712,Masaaki Yuasa,"Koji Imada, Sayaka Maeda, Takashi Fujii",0.0
15414,Robert Edwards,"Ralph Fiennes, Donald Sutherland, Tom Hollander",0.0
7859,Ryan Fleck,"Ryan Gosling, Jeff Lima, Shareeka Epps",7.02
16998,Emmanuel Carrère,"Vincent Lindon, Emmanuelle Devos, Mathieu Amalric",0.0
25645,Yuen Woo-ping,"Michelle Yeoh, Donnie Yen, Waise Lee",0.0
58311,"Johnnie To, Ching Siu-Tung","Anita Mui, Michelle Yeoh, Maggie Cheung",0.0
18672,Ching Siu-Tung,"Brigitte Lin, Jet Li, Rosamund Kwan",0.0
39776,Tsui Hark,"Brigitte Lin, Sally Yeh, Cherie Chung",0.0
11559,Terry Gilliam,"Jodelle Ferland, Janet McTeer, Jennifer Tilly",0.05
31513,Charles Walters,"June Allyson, Peter Lawford, Patricia Marshall",0.0
10348,Gordon Chan,"Jackie Chan, Anita Yuen, Michael Wong",0.0
26718,William Keighley,"James Cagney, Margaret Lindsay, Ann Dvorak",0.0
1023,Anders Thomas Jensen,"Mads Mikkelsen, Ulrich Thomsen, Paprika Steen",0.0
59964,"Vincente Minnelli, Busby Berkeley","Ethel Waters, Eddie 'Rochester' Anderson, Lena Horne",2.43
